12312312313;Jessica Eduarda;1094;00129331;3000.00
12312312320;Cinthia Caliari;1234;00145678;2500.00
12312312938;Helden Carlos;1597;00163256;5000.00
12312311624;Celi Maria;1594;00163279;5000.00
12312310927;Jose Vandelei;1346;00163212;5000.00
12312312162;Edna Silvana;1554;00163776;5000.00
12312315736;Maria Alice;1876;00163777;5000.00
12399999999;Carlos Baraquiel;3333;00163545;5000.00
12399999999;Carlos Baraquiel;2222;00162342;5000.00
12399999999;Carlos Baraquiel;1111;00163544;5000.00
12399999999;Carlos Baraquiel;3333;00163544;5000.00
